,positive control,,negative control,,device 1,,device 2,,device 3,
,replicate 1,replicate 2,replicate 1,replicate 2,replicate 1,replicate 2,replicate 1,replicate 2,replicate 1,replicate 2
0 h,0.284854733,0.203922367,0.344852345,0.250749018,0.186845463,0.105622815,0.16708215,0.126768838,0.092519872,0.094893325
1 h,0.424565177,0.299760524,0.252813637,0.221219131,0.150005246,0.113783383,0.249581015,0.184025077,0.259505613,0.199964895
2 h,0.477475754,0.34614402,0.499018556,0.665654926,0.175368107,0.190459405,0.549682443,0.526078458,0.558177954,0.539802504
3 h,1.035259458,0.544502003,1.035125481,1.126260704,0.24648924,0.264208546,1.237289782,1.041006725,1.069430443,1.046197471
4 h,1.262199183,0.920152673,1.539692866,1.621947824,0.380572653,0.270237507,1.639979743,1.499970427,1.328184534,1.393871013
5 h,1.544759942,1.030144288,1.539819972,1.595908207,0.323285497,0.197628888,1.532172982,1.495112905,1.334498625,1.497541666
6 h,1.402929914,1.262343466,1.640302662,1.641329818,0.405588549,0.16365715,1.635785235,1.691124573,1.400858424,1.63281026
